epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1137.52,1.43508,0.90278,1.36789,0.67096,0.66641,0.67595,0.31168,1.79769,1.01841,1.64576,0.000611683,0.000203894,0.000611683,0.000203894,0.000611683,0.000203894,0.000611683,0.000203894
31,1184.3,1.50845,0.8768,1.45435,0.66446,0.66145,0.66453,0.30329,1.80417,1.03087,1.65041,0.000516555,0.000172185,0.000516555,0.000172185,0.000516555,0.000172185,0.000516555,0.000172185
32,1220.63,1.49335,0.86536,1.4533,0.65783,0.65952,0.66763,0.30348,1.809,1.03764,1.6537,0.000428621,0.000142874,0.000428621,0.000142874,0.000428621,0.000142874,0.000428621,0.000142874
33,1257.19,1.47331,0.84023,1.42768,0.6975,0.62486,0.67406,0.30697,1.79672,1.02983,1.64891,0.00034842,0.00011614,0.00034842,0.00011614,0.00034842,0.00011614,0.00034842,0.00011614
34,1293.57,1.47262,0.84624,1.42503,0.66543,0.64968,0.67314,0.30842,1.79834,1.02811,1.6495,0.000276449,9.21498e-05,0.000276449,9.21498e-05,0.000276449,9.21498e-05,0.000276449,9.21498e-05
35,1329.97,1.46332,0.84726,1.43227,0.66657,0.6621,0.67461,0.309,1.79943,1.01929,1.6481,0.000213151,7.10504e-05,0.000213151,7.10504e-05,0.000213151,7.10504e-05,0.000213151,7.10504e-05
36,1367.89,1.46192,0.84337,1.42465,0.6805,0.64613,0.67649,0.30953,1.80046,1.02073,1.64963,0.000158916,5.29721e-05,0.000158916,5.29721e-05,0.000158916,5.29721e-05,0.000158916,5.29721e-05
37,1404.82,1.46352,0.82594,1.42267,0.67941,0.65537,0.67668,0.30766,1.80127,1.0209,1.65105,0.000114079,3.80262e-05,0.000114079,3.80262e-05,0.000114079,3.80262e-05,0.000114079,3.80262e-05
38,1441.78,1.44142,0.81638,1.41465,0.68242,0.65513,0.67564,0.31033,1.79751,1.01642,1.64849,7.89151e-05,2.6305e-05,7.89151e-05,2.6305e-05,7.89151e-05,2.6305e-05,7.89151e-05,2.6305e-05
39,1478.78,1.43676,0.82123,1.41719,0.67397,0.65215,0.67307,0.30943,1.79811,1.01971,1.64976,5.36422e-05,1.78807e-05,5.36422e-05,1.78807e-05,5.36422e-05,1.78807e-05,5.36422e-05,1.78807e-05
40,1515.81,1.45198,0.83322,1.42617,0.68877,0.65068,0.67841,0.31269,1.79662,1.01877,1.6484,3.84159e-05,1.28053e-05,3.84159e-05,1.28053e-05,3.84159e-05,1.28053e-05,3.84159e-05,1.28053e-05
